Column,Count_1
outrasCondicoes_HIV,316
"outrosSintomas_NAUSEAS,",314
outrosSintomas_DOR_MUSCULAR,312
outrosSintomas_sem,310
outrasCondicoes_NÃO_INFORMADO,310
outrasCondicoes_PAC,308
outrosSintomas__VOMITOS,307
outrasCondicoes_INFLUENZA_A,304
outrosSintomas_MM,301
outrasCondicoes_sintomas,299
outrosSintomas_fadiga,298
outrosSintomas_nausea,298
"outrosSintomas_,MIALGIA",298
"outrosSintomas_Diarreia,",297
outrasCondicoes_PACIENTE,292
outrosSintomas__DOR_NAS_COSTAS,292
outrosSintomas_SINTOMAS_GRIPAIS,290
outrosSintomas_Cansaço,290
outrasCondicoes_nao,288
outrosSintomas_vômito,287
"outrosSintomas_CEFALEIA,",287
outrasCondicoes_TAD,285
outrosSintomas_dores,282
outrasCondicoes_TIREOIDE,280
outrosSintomas_FEBRE,278
outrosSintomas_ROUQUIDÃO,275
"outrosSintomas_ARTRALGIA,",274
outrosSintomas_CONGESTÃO_NASAL_,272
outrasCondicoes_Sem_Morbidade,272
outrasCondicoes_ASMA_,271
"outrosSintomas_diarreia,",270
outrosSintomas__DIARRÉIA,269
outrosSintomas_ALGIA.,268
outrosSintomas_Dor_No_Corpo,267
outrosSintomas_LOMBAR,265
outrasCondicoes_NAO_INFORMA,263
outrasCondicoes_NEUROLOGICA,260
outrosSintomas_MMII,260
outrosSintomas_Calafrio,259
outrasCondicoes_NAO_INFORMADO,258
outrasCondicoes_LUPUS,255
outrasCondicoes_INFLUENZA_B,251
"outrasCondicoes_ASMA,",250
outrasCondicoes_ARTRITE,250
outrosSintomas_diarréia,247
outrosSintomas_SUDORESE,247
outrasCondicoes_ALERGICA,244
outrasCondicoes_RINITE_,244
outrosSintomas_NÃO_INFORMADO,244
outrosSintomas_EMESE,242
outrasCondicoes_PNE,240
outrosSintomas_Dor_De_Cabeça,238
outrasCondicoes_Bronquite,236
outrasCondicoes_;,235
outrosSintomas__cansaço,235
outrosSintomas_OTALGIA,234
"outrosSintomas_dor_no_corpo,",233
outrosSintomas_VOMITO_,233
outrosSintomas_DOR_TORÁCICA,233
outrosSintomas_Mal,233
outrosSintomas_nao,232
outrosSintomas_Coriza,232
outrosSintomas_VÔMITOS,230
outrosSintomas_ENJOO,229
outrosSintomas__Cefaleia,228
outrasCondicoes_bronquite,227
outrosSintomas_NÁUSEAS,227
outrosSintomas_mialgia_,226
outrosSintomas_PERDA_DE_APETITE,226
outrosSintomas__calafrios,225
outrosSintomas_dor_nas_costa,224
outrasCondicoes_RENAL,224
outrosSintomas_FRAQUEZA_,223
outrosSintomas_Espirro,223
outrosSintomas_SATURAÇÃO_,222
outrosSintomas_Congestão_Nasal,222
outrosSintomas_FADIGA_,222
outrosSintomas_SECREÇÃO,219
outrosSintomas_dor_abdominal,218
outrasCondicoes_NEGA_COMORBIDADE,217
outrosSintomas_MIALGIA.,216
"outrosSintomas_Cefaleia,",216
outrosSintomas_dor_nas_costas,216
outrasCondicoes_PRESSAO_ALTA,214
outrosSintomas_PERNAS,213
"outrosSintomas_MAL_ESTAR,",213
outrasCondicoes_ETILISTA,212
outrasCondicoes_Hipotireoidismo,212
outrasCondicoes_HIPOTIROIDISMO,211
outrosSintomas_desconforto_resp,211
outrosSintomas_MOLEZA,209
"outrosSintomas_NAUSEA,",208
outrosSintomas_NAO,208
outrasCondicoes_DEPRESSAO,207
profissionalSeguranca,207
outrosSintomas_mal_estar,206
outrosSintomas_astenia,205
outrosSintomas_ASTENIA_,205
outrosSintomas_DORSALGIA,205
outrosSintomas_tosse,202
outrasCondicoes_hipertensao,202
outrosSintomas_nao_inf,202
"outrosSintomas_DOR_NAS_COSTAS,",201
outrosSintomas_ACOMPANHANTE,201
outrosSintomas_nao_informado,201
outrasCondicoes_nega,200
outrasCondicoes_NEGA_COMORBIDADES,199
outrosSintomas_cefaleia,198
outrosSintomas_TOSSE_,198
outrosSintomas_ouvido,197
outrosSintomas_Fadiga,197
outrosSintomas_MIALGIA_/_ARTRALGIA,196
outrosSintomas_CANSAÇO_,195
outrosSintomas_MAE,195
outrosSintomas_SONO,194
outrosSintomas_NAUSEA/VOMITO,194
outrosSintomas_GRIPE,194
"outrosSintomas_VOMITOS,",194
outrosSintomas_peito,194
outrosSintomas_DESSATURAÇÃO,193
outrosSintomas_DOR_CORPO,192
"outrosSintomas_DESCONFORTO_RESPIRATORIO,",190
"outrosSintomas_congestão_nasal,",190
outrasCondicoes_FALCIFORME,189
"outrosSintomas__DOR_NO_CORPO,",189
outrosSintomas_CANSACO,188
outrasCondicoes_AUTISMO,187
outrosSintomas_DOR_LOMBA,186
outrasCondicoes_dor,186
outrosSintomas_artralgia,185
outrosSintomas_Dor_De_Garganta,185
outrosSintomas_DOR_LOMBAR,184
outrosSintomas_Espirros,183
outrasCondicoes_nao_informado,183
outrosSintomas_ASTENIA.,183
outrasCondicoes_Não_Possui_comorbidade.,183
outrosSintomas_Febre,182
outrasCondicoes_DM,182
outrosSintomas_Calafrios,180
outrosSintomas_ARTRALGIA_,180
outrosSintomas_DOR_ABDOMINAL_,179
outrasCondicoes_PRESSÃO_ALTA,178
outrasCondicoes_COVID,178
"outrosSintomas_ODINOFAGIA,",177
outrosSintomas_DR,177
outrosSintomas_garganta,177
outrosSintomas_MAL_ESTAR_,176
outrosSintomas_MIALGIA/ARTRALGIA,176
"outrosSintomas_CORIZA,",176
outrasCondicoes_ANEMIA_FALCIFORME,176
outrosSintomas_NARIZ,173
outrosSintomas_EXTERNO,173
outrosSintomas_INAPETÊNCIA,172
outrosSintomas_covid,172
outrosSintomas_DISPNEIA,171
"outrosSintomas_Dor_De_Cabeça,",171
outrasCondicoes_mialgia,171
outrasCondicoes_LES,170
"outrosSintomas_CALAFRIO,",169
outrasCondicoes_BRONQUITE_ASMATICA,169
outrosSintomas_ROUQUIDAO,167
outrosSintomas_febre,167
outrosSintomas_DOR_TORAX,167
outrosSintomas_náusea,166
outrosSintomas_vomitos,165
"outrosSintomas_NOS_OLHOS,",165
"outrosSintomas_OBSTRUÇÃO_NASAL,",165
outrosSintomas_ANOSMIA,164
outrasCondicoes_ipertenso,163
outrosSintomas_nauseas,163
outrosSintomas_ESPIRROS_,163
outrosSintomas_NEGATIVO,163
outrasCondicoes_hipotireoidismo,162
outrasCondicoes_HIPERTENSAO_ARTERIAL,162
outrosSintomas_COVID,160
"outrosSintomas_Vômito,",160
outrasCondicoes_NÃO_CONSTA,158
outrosSintomas_CRISE_CONVULSIVA,157
"outrosSintomas_DOR_NO_PEITO,",157
"outrosSintomas_TOSSE,",157
outrosSintomas_VERTIGEM,156
outrosSintomas_sem_sintoma,156
outrosSintomas__Diarreia,155
outrosSintomas_sem_sintomas,154
outrasCondicoes_tab,154
outrosSintomas_DOR_NAS_PERNAS,153
outrasCondicoes_VASCULAR,153
outrasCondicoes_H.A,153
"outrosSintomas_DIARRÉIA,",153
outrasCondicoes_Nda,153
outrosSintomas_dor_nos_olhos,152
outrasCondicoes_PARALISIA,152
"outrosSintomas_Desconforto_Respiratório,",151
outrosSintomas_Nausea,151
outrosSintomas_ARTICULAÇÕES,151
outrasCondicoes_HAS.,149
outrosSintomas_ADINAMIA_,149
outrosSintomas_DOR_DE_GARGANTA,149
"outrosSintomas_espirros,",148
outrasCondicoes_H.A.,147
outrosSintomas_obstrução_nasal,146
outrosSintomas_Mialgia_,146
outrasCondicoes_alergia,146
"outrosSintomas_FALTA_DE_AR,",146
outrosSintomas__SUDORESE,145
outrosSintomas_Desconforto_respiratório,145
outrosSintomas_odinofagia,145
outrasCondicoes_H.A.S,145
outrosSintomas_CEFALEIA_,144
outrosSintomas_ARDENCIA,144
outrosSintomas_CALAFRIOS_,143
outrasCondicoes_AUTISTA,142
outrosSintomas_MIALGIA/ASTENIA.,142
outrasCondicoes_CONTATO,141
outrosSintomas_gripais,141
outrosSintomas_DOR_TORAXICA,141
outrasCondicoes_GASTRITE,141
outrasCondicoes_DOENÇA_NEUROLOGICA,141
outrosSintomas_congestao_nasal,140
outrosSintomas_PRODUÇÃO_DE_ESCARRO,139
outrosSintomas_tontura,139
outrosSintomas_Mialgia.,139
outrasCondicoes_IRA,139
outrasCondicoes_NEUROLÓGICA,139
outrosSintomas_NAUSEAS_,139
outrosSintomas_INFLUENZA_A,139
outrosSintomas_coriza,138
outrosSintomas_DOR_NAS_COSTAS_,138
outrosSintomas_SINTOMAS_GASTROINTESTINAIS,138
"outrosSintomas_ESPIRRO,",137
outrosSintomas_OLFATO,137
outrosSintomas_Fraqueza,136
outrosSintomas_Congestão_nasal,135
outrosSintomas_FALTA_DE_APETITE,135
outrosSintomas_CEFALÉIA,135
outrosSintomas_covid-19_/_SWAB_TEST,134
outrosSintomas_NEGATIVO_para_novo_coronavírus,134
outrosSintomas_TESTE_SWAB,134
outrosSintomas_NEGATIVE_for_new_coronavirus,134
"outrosSintomas_NEGATIVE_for_new_coronavirus,",134
outrasCondicoes_TROMBOSE,134
"outrosSintomas_DOR_TORACICA,",133
outrasCondicoes_DIPIRON,133
outrosSintomas_Diarréia,132
outrosSintomas_DOR_NO_OUVIDO,132
"outrosSintomas_INAPETENCIA,",132
outrasCondicoes_Sem_comorbidade.,132
outrasCondicoes_positivo,132
"outrosSintomas_DOR_NOS_OLHOS,",131
outrosSintomas_Covid-19,131
outrosSintomas_AT_EXTERNO,131
outrasCondicoes_DIPIRONA,131
"outrosSintomas_Dor_no_corpo,",130
outrasCondicoes__DIPIRONA,130
outrosSintomas_ADINAMIA_(FRAQUEZA),129
outrosSintomas_falta_de_ar,128
outrasCondicoes_Outros,128
outrosSintomas_IRRITABILIDADE,128
"outrosSintomas_calafrios,",128
outrosSintomas_Mal_Estar,127
outrosSintomas_no_symptoms,126
outrasCondicoes_POSITIVO_INFLUENZA_B,126
outrasCondicoes_HIPERTENSÃO.,125
outrosSintomas_diarreia_,125
outrosSintomas_E_FRAQUEZA,125
outrasCondicoes_Ansiedade,124
outrosSintomas_Outros,124
outrosSintomas_NAS_ARTICULAÇÕES,123
outrosSintomas_Odinofagia,123
outrasCondicoes_ASMATICO,123
"outrosSintomas_cansaço,",122
outrosSintomas_SECREÇÃO_,122
outrasCondicoes_PNEUMONIA,121
outrasCondicoes_ira,121
outrasCondicoes_hipertenso,121
outrosSintomas_dor_no_peito,120
outrasCondicoes_AVE,120
outrosSintomas_vômitos,119
outrosSintomas_GRIPAL,118
outrosSintomas_DOR_NO_CORPO.,118
outrasCondicoes_HIPERTIREOIDISMO,118
outrosSintomas_dor_no_corpo_,118
outrasCondicoes_TAG,118
outrasCondicoes_PARALISIA_CEREBRAL,117
outrosSintomas_saturação,117
outrasCondicoes_sem_morbidade,117
outrosSintomas_NAO_INFORMADO,117
outrasCondicoes_H.A.S.,116
outrasCondicoes_TESTE_RÁPIDO_-_ANTÍGENO_POSITIVO_INFLUENZA_B,115
outrasCondicoes_PC,115
outrosSintomas_VÔMITO_,114
outrosSintomas_SATURAÇAO,113
outrasCondicoes_TB,113
outrasCondicoes_Hipertensão_arterial,113
outrasCondicoes_ASMÁTICA,112
outrosSintomas_DOR_NO_PEITO_,111
outrasCondicoes_Nega,111
outrosSintomas_CONTATO_COM_POSITIVO,111
outrasCondicoes_ansiedade,111
outrosSintomas_IRRITAÇÃO,110
"outrosSintomas_sem_sintomas,NEGATIVO_para_novo_coronavírus",110
outrosSintomas_desconforto_respiratorio,109
outrosSintomas_dor_muscula,109
outrosSintomas_DIFICULDADE_DE_RESPIRA,109
outrasCondicoes_sinusite,108
outrasCondicoes_RINITE_ALERGICA,108
outrosSintomas_CONTACTANTE,108
outrasCondicoes_DOENÇA_NEUROLÓGICA,108
outrosSintomas_sintomas_gripais,107
outrasCondicoes_GESTANTE,107
outrasCondicoes_Tabagista,107
outrasCondicoes_tabagista,106
outrasCondicoes_SINTOMAS,106
outrosSintomas_DIFICULDADE_DE_RESPIRAR,106
outrasCondicoes_CA_PULMONAR,105
outrasCondicoes_nenhum,105
outrasCondicoes_SEM_INFORMAÇÃO,105
outrasCondicoes_ASMA.,105
outrasCondicoes_COLESTEROL,105
outrosSintomas_SEM_INFORMAÇÃO,104
outrasCondicoes_CANCER,103
outrosSintomas_LEVE,103
"outrosSintomas_PERDA_DE_APETITE,",103
outrasCondicoes_DOENCA_PULMONAR,103
outrosSintomas_DOR_OCULAR,103
outrasCondicoes_SINTOMATICO,102
outrosSintomas_Dor_no_Corpo,100
outrasCondicoes_TUBERCULOSE,100
outrosSintomas_NEGA_CONTATO,99
outrosSintomas_rouquidão,99
outrosSintomas_VOMITOS_,99
outrasCondicoes_NAO_TEM,99
outrasCondicoes_depressão,99
outrosSintomas_RINORREIA,99
outrosSintomas_..,98
outrosSintomas_QUEDA,98
outrosSintomas_contato,98
outrasCondicoes_..,98
outrasCondicoes_AVC,98
outrasCondicoes_TROMBOFILIA,98
outrosSintomas_náuseas,98
outrosSintomas_Dispneia,98
outrosSintomas_Dor_muscular,98
outrosSintomas_EDEMA,97
outrosSintomas_SONOLÊNCIA,97
outrosSintomas_dor_muscular,97
outrasCondicoes_SIDA,96
outrasCondicoes_Has,96
outrasCondicoes_febre,96
"outrosSintomas_MIALGIA/ARTRALGIA,",96
outrasCondicoes_DOENCA_PULMONAR_CRONICA,96
outrosSintomas_monitoramento,96
outrasCondicoes_TEA,96
outrasCondicoes_TOC,96
outrasCondicoes_ARTRITE_REUMATOIDE,95
outrosSintomas_desconforto_respiratório,95
outrasCondicoes_PREMATURIDADE,95
outrasCondicoes_Diabetes_Mellitus,95
outrosSintomas_DOR_DE_CABEÇA,94
outrosSintomas_PROSTRAÇÃO,94
outrosSintomas_HAS,93
outrosSintomas_Astenia,93
outrasCondicoes_SIC,93
outrasCondicoes_DOENÇA_CARDIOVASCULAR,92
outrosSintomas_Nauseas,92
outrasCondicoes_DIABETES,92
outrosSintomas_DOR_NAS_ARTICULAÇÕES,92
outrasCondicoes_monitoramento,92
outrasCondicoes_Hipertensa,92
outrasCondicoes_ALÉRGICA,91
outrasCondicoes_Influenza_A,91
outrosSintomas_NO_TORAX,91
outrasCondicoes_NADA,90
outrosSintomas_secreção,90
outrosSintomas_SINTOMATICO,90
outrasCondicoes_epilepsia,90
outrasCondicoes_NEOPLASIA,90
outrasCondicoes_Sem_sintomas,90
outrasCondicoes_FEBRE,89
outrasCondicoes_CARDIACA,89
"outrosSintomas_vomito,",88
outrosSintomas_E_ESPIRROS,88
outrosSintomas_ÊMESE,88
outrosSintomas_AGEUSIA,87
outrasCondicoes_MENTAL,87
outrasCondicoes_Não_informada,87
outrosSintomas_DOR_RETROORBITAL,87
outrasCondicoes_Depressão,87
outrasCondicoes_outro,87
outrasCondicoes_alergias,87
outrosSintomas_DIFICULDADE_PARA_DEGLUTIR,86
outrosSintomas__DOR_TORÁCICA,86
outrosSintomas_Não_informada,86
outrasCondicoes_rinite,86
"outrosSintomas_LOMBALGIA,",85
outrasCondicoes_ENXAQUECA,85
outrasCondicoes_Influenza_B,85
outrasCondicoes_BUSCA_ATIVA,85
outrasCondicoes_B24,84
outrosSintomas_tosse_,84
outrosSintomas_NÃO_CONSTA,84
"outrosSintomas_cefaleia,",83
outrosSintomas_positivo,83
outrasCondicoes_FUMA,83
outrasCondicoes_TOSSE,83
outrosSintomas_NÃO_REAGENTE,83
outrasCondicoes_HEPATITE,83
outrasCondicoes_outros,82
outrasCondicoes_ARRITMIA,82
outrosSintomas_DOR_NO_TORAX,82
outrosSintomas_dor_de_ouvido,82
outrosSintomas__Congestão_Nasal,82
outrasCondicoes_Rinite,81
outrosSintomas_Náusea,81
outrasCondicoes_FUMANTE,80
outrasCondicoes_DISLIPIDEMIA,80
outrosSintomas_DISFAGIA,80
outrasCondicoes_CIRURGIA,79
outrosSintomas_FEBRE_,79
outrosSintomas__VERTIGEM,79
outrosSintomas_NUCA,79
outrasCondicoes_hipertensão_arterial,78
outrasCondicoes_LACTANTE,78
outrosSintomas_Dor_Nos_Olhos,78
outrasCondicoes_fibromialgia,78
outrosSintomas__Nausea,78
outrasCondicoes_BARIATRICA,78
outrosSintomas_TONTURA_,78
outrasCondicoes_SG,78
outrosSintomas_dor_toracica,78
"outrosSintomas_,DOR_NO_CORPO",77
outrosSintomas_ARDENCIA_NOS_OLHO,77
outrosSintomas_Fadiga.,77
"outrosSintomas_DOR_DE_OUVIDO,",77
outrasCondicoes_DOENÇA_NEUROLÓGICA_CRÔNICA,77
outrasCondicoes_Nega_comorbidade,77
outrosSintomas_Dor_Toracica,77
outrosSintomas__DOR_ABDOMINAL_,76
"outrosSintomas_Cansaço,",76
outrosSintomas_Dor_Nas_Costas,76
outrasCondicoes_Epilepsia,76
outrosSintomas_SONOLENCIA,76
outrasCondicoes_HIPERTENÇÃO,76
outrosSintomas_DIARREIA.,75
outrosSintomas_ARDENCIA_NOS_OLHOS,75
outrasCondicoes_NÃO_ESPECIFICA,75
"outrosSintomas_fadiga,",75
outrosSintomas_otalgia,75
outrosSintomas_TOSSE_SECA,75
outrasCondicoes_nega_comorbidades,75
outrasCondicoes_ESQUIZOFRENIA,75
outrosSintomas_ASTRALGIA,74
outrasCondicoes_ALERGIAS,74
outrasCondicoes_DOENÇA_PULMONAR,74
outrasCondicoes_Nega_comorbidades,74
outrasCondicoes_DOR_NO_CORPO,73
"outrosSintomas_INAPETÊNCIA,",73
outrasCondicoes_SEM_MORBIDADE,73
"outrosSintomas_artralgia,",73
outrasCondicoes_PATOLOGIA,72
outrosSintomas_sudorese,72
outrosSintomas_MAL_ESTAR_GERAL,72
outrosSintomas_APERTO_TORACICO,72
outrasCondicoes_CARDIOPATA,72
outrasCondicoes_DPOC,72
outrosSintomas_triagem,72
outrasCondicoes_triagem,71
outrosSintomas_CONG_NASAL,71
outrosSintomas_Monitoramento,71
